2020-04-02,Washington,53,6585,272
2020-04-03,Alabama,01,1535,38
2020-04-03,Alaska,02,156,2
2020-04-03,Arizona,04,1769,41
2020-04-03,Arkansas,05,738,12
2020-04-03,California,06,12569,282
2020-04-03,Colorado,08,4182,110
2020-04-03,Connecticut,09,4915,132
2020-04-03,Delaware,10,450,14
2020-04-03,District of Columbia,11,757,15
2020-04-03,Florida,12,10260,169
2020-04-03,Georgia,13,5967,198
2020-04-03,Guam,66,154,4
2020-04-03,Hawaii,15,317,3
2020-04-03,Idaho,16,1013,10
2020-04-03,Illinois,17,8904,211
2020-04-03,Indiana,18,3437,102
2020-04-03,Iowa,19,699,11
2020-04-03,Kansas,20,624,19
2020-04-03,Kentucky,21,770,34
2020-04-03,Louisiana,22,10297,370
2020-04-03,Maine,23,432,9
2020-04-03,Maryland,24,2758,42
2020-04-03,Massachusetts,25,10402,192
2020-04-03,Michigan,26,12670,478
2020-04-03,Minnesota,27,789,22
2020-04-03,Mississippi,28,1358,29
2020-04-03,Missouri,29,2113,31
2020-04-03,Montana,30,262,6
2020-04-03,Nebraska,31,296,6
2020-04-03,Nevada,32,1549,43
2020-04-03,New Hampshire,33,540,7
2020-04-03,New Jersey,34,29895,647
2020-04-03,New Mexico,35,495,10
2020-04-03,New York,36,102870,2935
2020-04-03,North Carolina,37,2093,19
2020-04-03,North Dakota,38,173,3
2020-04-03,Northern Mariana Islands,69,8,1
2020-04-03,Ohio,39,3312,91
2020-04-03,Oklahoma,40,988,38
2020-04-03,Oregon,41,899,22
2020-04-03,Pennsylvania,42,8420,102
2020-04-03,Puerto Rico,72,378,15
2020-04-03,Rhode Island,44,711,14
2020-04-03,South Carolina,45,1700,34
2020-04-03,South Dakota,46,187,2
2020-04-03,Tennessee,47,2913,36
2020-04-03,Texas,48,5669,97
2020-04-03,Utah,49,1260,7
2020-04-03,Vermont,50,389,17
2020-04-03,Virgin Islands,78,38,0
2020-04-03,Virginia,51,2012,46
2020-04-03,Washington,53,6966,293
2020-04-03,West Virginia,54,242,2
2020-04-03,Wisconsin,55,1916,49
2020-04-03,Wyoming,56,166,0
